Year,Value
197604,-0.0161
197605,-0.1172
197606,-0.0682
197607,-0.0788
197608,-0.0835
197609,-0.037
197610,-0.1763
197611,-0.0365
197612,0.0958
197701,0.0685
197702,0.2434
197703,0.317
197704,0.2876
197705,0.2418
197706,0.2531
197707,0.1791
197708,0.1473
197709,0.1919
197710,0.124
197711,0.266
197712,0.1176
197801,0.1655
197802,0.1358
197803,0.2286
197804,0.138
197805,0.0647
197806,0.0591
197807,0.0756
197808,0.0088
197809,0.0798
197810,0.0687
197811,0.2303
197812,0.1562
197901,0.165
197902,0.0967
197903,0.2482
197904,0.1156
197905,0.1614
197906,0.2239
197907,0.1799
197908,0.2313
197909,0.2567
197910,0.2991
197911,0.301
197912,0.5083
198001,0.3131
198002,0.356
198003,0.2446
198004,0.3128
198005,0.3205
198006,0.2523
198007,0.2223
198008,0.2006
198009,0.206
198010,0.187
198011,0.3376
198012,0.2728
198101,0.4695
198102,0.3678
198103,0.4148
198104,0.3625
198105,0.2677
198106,0.292
198107,0.2326
198108,0.2482
198109,0.1904
198110,0.1729
198111,0.2162
198112,0.4246
198201,0.1385
198202,0.1634
198203,0.0892
198204,0.21
198205,0.1967
198206,0.1284
198207,0.1484
198208,0.1453
198209,0.2371
198210,0.1818
198211,0.1564
198212,0.441
198301,0.5207
198302,0.4881
198303,0.4311
198304,0.2967
198305,0.2929
198306,0.2679
198307,0.2709
198308,0.3276
198309,0.3227
198310,0.2157
198311,0.4362
198312,0.2794
198401,0.288
198402,0.1809
198403,0.2775
198404,0.1548
198405,0.2895
198406,0.136
198407,0.1239
198408,0.1726
198409,0.1474
198410,0.1237
198411,0.0428
198412,-0.0877
198501,0.1829
198502,0.0224
198503,0.1924
198504,0.1533
198505,0.2008
198506,0.1341
198507,0.083
198508,0.1332
198509,0.1069
198510,0.1347
198511,0.1232
198512,0.203
198601,0.3297
198602,0.2854
198603,0.3029
198604,0.2661
198605,0.2555
198606,0.2599
198607,0.1744
198608,0.1755
198609,0.1764
198610,0.2121
198611,0.1595
198612,0.2227
198701,0.3151
198702,0.5076
198703,0.2593
198704,0.305
198705,0.339
198706,0.3057
198707,0.4243
198708,0.3887
198709,0.4375
198710,0.3392
198711,0.3346
198712,0.5348
198801,0.5536
198802,0.3947
198803,0.4888
198804,0.4477
198805,0.3851
198806,0.3921
198807,0.3467
198808,0.325
198809,0.3242
198810,0.3043
198811,0.2339
198812,0.3652
198901,0.2208
198902,0.3118
198903,0.3404
198904,0.2924
198905,0.2825
198906,0.279
198907,0.3068
198908,0.3049
198909,0.3069
198910,0.3081
198911,0.2573
198912,0.4047
199001,0.3676
199002,0.4117
199003,0.7376
199004,0.4949
199005,0.4316
199006,0.4154
199007,0.3492
199008,0.3512
199009,0.3181
199010,0.4305
199011,0.4826
199012,0.4514
199101,0.4556
199102,0.4691
199103,0.3733
199104,0.5215
199105,0.4144
199106,0.485
199107,0.4501
199108,0.3917
199109,0.3918
199110,0.3345
199111,0.3211
199112,0.3117
199201,0.4778
199202,0.4529
199203,0.4368
199204,0.2976
199205,0.3309
199206,0.2873
199207,0.1393
199208,0.144
199209,0.0623
199210,0.1195
199211,0.0982
199212,0.2873
199301,0.3871
199302,0.3982
199303,0.4239
199304,0.3187
199305,0.3471
199306,0.2959
199307,0.2369
199308,0.216
199309,0.1737
199310,0.249
199311,0.0976
199312,0.3215
199401,0.294
199402,0.0831
199403,0.3606
199404,0.3591
199405,0.3848
199406,0.391
199407,0.3192
199408,0.3164
199409,0.3362
199410,0.4322
199411,0.4583
199412,0.4044
199501,0.5514
199502,0.6945
199503,0.4677
199504,0.4127
199505,0.3587
199506,0.4689
199507,0.4346
199508,0.51
199509,0.3899
199510,0.4398
199511,0.4576
199512,0.3493
199601,0.2684
199602,0.4577
199603,0.3254
199604,0.2756
199605,0.393
199606,0.3594
199607,0.3293
199608,0.3234
199609,0.2745
199610,0.2311
199611,0.2858
199612,0.3927
199701,0.3763
199702,0.432
199703,0.4677
199704,0.459
199705,0.427
199706,0.5368
199707,0.5143
199708,0.5532
199709,0.6284
199710,0.6527
199711,0.5905
199712,0.6316
199801,0.6112
199802,0.8705
199803,0.6464
199804,0.7381
199805,0.6703
199806,0.6693
199807,0.7392
199808,0.6836
199809,0.5285
199810,0.4997
199811,0.4152
199812,0.5842
199901,0.5035
199902,0.6749
199903,0.3727
199904,0.4605
199905,0.4115
199906,0.4248
199907,0.4085
199908,0.3733
199909,0.4047
199910,0.3793
199911,0.3721
199912,0.5799
200001,0.3491
200002,0.5454
200003,0.556
200004,0.6321
200005,0.4655
200006,0.4105
200007,0.3947
200008,0.4591
200009,0.4415
200010,0.307
200011,0.2609
200012,0.323
200101,0.4726
200102,0.3969
200103,0.6317
200104,0.5687
200105,0.6007
200106,0.5418
200107,0.5624
200108,0.6042
200109,0.5066
200110,0.5049
200111,0.6913
200112,0.515
200201,0.6985
200202,0.788
200203,0.7926
200204,0.5737
200205,0.5652
200206,0.5927
200207,0.6248
200208,0.5393
200209,0.5711
200210,0.4803
200211,0.593
200212,0.4403
200301,0.6898
200302,0.5662
200303,0.5726
200304,0.5625
200305,0.5987
200306,0.5431
200307,0.5479
200308,0.6241
200309,0.6454
200310,0.7298
200311,0.5808
200312,0.7392
200401,0.601
200402,0.7244
200403,0.7026
200404,0.5993
200405,0.4528
200406,0.4795
200407,0.486
200408,0.5213
200409,0.5369
200410,0.6186
200411,0.7647
200412,0.5121
200501,0.6267
200502,0.5202
200503,0.6977
200504,0.7344
200505,0.6615
200506,0.6769
200507,0.6632
200508,0.6282
200509,0.6918
200510,0.698
200511,0.7323
200512,0.6255
200601,0.4625
200602,0.6266
200603,0.6
200604,0.5232
200605,0.5548
200606,0.6447
200607,0.6278
200608,0.6322
200609,0.6382
200610,0.6837
200611,0.6511
200612,0.7754
200701,0.889
200702,0.6671
200703,0.6736
200704,0.7398
200705,0.6145
200706,0.5435
200707,0.5318
200708,0.5583
200709,0.5841
200710,0.573
200711,0.5243
200712,0.4955
200801,0.2828
200802,0.3852
200803,0.7706
